crater_id,min_latitude,max_latitude,min_longitude,max_longitude,highest_temperature,average_temperature
8,-87.1976,-86.1728,14.0362,34.9058,62.01,38.42
9,-88.1035,-86.7479,-17.8828,14.9681,63.76,40.07
16,-89.2479,-88.8305,-35.423,-10.704,66.58,41.97
13,-88.6374,-87.3493,27.2857,63.7887,68.57,43.35
24,-88.8933,-88.5526,-178.2718,177.0981,73.48,44.32
17,-87.6271,-86.6267,74.1331,94.2282,70.5,45.26
14,-87.8721,-87.2299,-54.2764,-41.4301,81.2,46.91
21,-88.3503,-87.6854,104.7209,127.5264,70.75,47.27
6,-84.8945,-84.0032,-52.8731,-40.9901,66.83,47.48
10,-85.6498,-85.1911,-54.684,-49.3369,84.43,48.02
18,-83.9644,-83.0352,84.3324,96.636,66.44,48.47
25,-87.6314,-87.2526,116.0706,121.6571,77.69,48.8
11,-84.8257,-84.1909,56.4216,63.4088,72.16,51.42
19,-88.641,-88.0643,-101.5217,-77.5549,75.37,52.09
22,-87.098,-86.7929,104.2419,110.7255,76.18,53.23
23,-88.6938,-87.8421,-161.5026,-122.2834,82.27,53.57
15,-81.0126,-80.2025,83.1309,88.1456,85.51,54.53
20,-89.915,-89.3428,77.2753,178.7812,89.4,54.71
12,-83.2228,-82.7017,64.3279,69.8022,79.7,55.12
2,-80.3754,-79.9944,41.1706,43.7017,79.8,55.33
7,-81.7324,-81.2468,-66.2915,-62.9381,80.42,55.75
0,-82.6911,-82.2094,-6.809,-2.0619,80.05,56.11
29,-84.0112,-83.4489,160.4681,166.2714,81.8,56.44
4,-84.4438,-83.881,2.9856,8.5774,85.11,58.06
30,-83.4607,-83.0356,147.6056,151.5293,89.98,59.71
3,-80.9526,-80.5958,44.1903,46.6182,83.46,59.77
27,-84.8901,-84.5264,148.1796,152.2045,84.45,59.87
28,-85.2831,-84.6377,-179.9389,179.9387,88.54,60.04
1,-82.1866,-81.7467,23.9301,26.2666,84.68,61.21
5,-82.043,-81.3461,-57.8018,-50.9468,85.94,62.28
26,-84.1597,-83.6662,116.6349,121.3501,92.92,62.4
